"Add Category","добавить рубрику"
"Add News","Разместить статью"
"Admin Thumb Size (w-h)px","Размеры иллюстраций-миниатюр для администратора"
"Auto Collapse / Expand","Сразу раскрывать меню рубрики при в ней материалов?"
"Cmspro","Журнал"
"Category Menu Settings","Меню рубрик"
"Category Name","Название рубрики"
"Categories","Рубрики"
"Category Item Level","Предельный уровень вложенности меню рубрик"
"Category Suffix","Окончание URL рубрики"
"Content","Содержание"
"Configurations","Настройки"
"Description","Описание"
"Display Latest News Block","Включить модуль последних материалов?"
"Enable Left Menu", "Добавить журнал в левое меню?"
"Enable Right Menu","Добавить журнал в правое меню?"
"Enable Top Menu", "Добавить журнал в верхнее меню?"
"General","Главное"
"General information","Основное"
"Featured News","Пометить статью как важную для читателей?"
"Images","Иллюстрации"
"Is Active","Подлежит публикации?"
"Item was successfully saved","Объект записан в базу данных"
"Latest News Thumb Size (w-h)px","Размеры иллюстраций-миниатюр для блока последних материалов"
"Left Column", "слева"
"Level 1", "1"
"Level 2", "2"
"Level 3", "3"
"Level 4", "4"
"Level 5", "5"
"Manage Categories","Рубрики журнала"
"Manage News","Архив статей"
"Meta Information","Метаописание"
"Meta information","Метаописание статьи для поисковых роботов"
"More","Читать дальше"
"News Information","Параметры статьи"
"News Settings","Другое"
"News Thumb Size (w-h)px","Размеры иллюстраций-миниатюр для статей"
"Not found news","В этой рубрике материалов пока нет"
"Number Of Latest News Block", "Сколько материалов показывать в блоке последних материалов?"
"Meta Description","Meta description"
"Meta Keyword","Ключевые слова"
"News Per Page Allowed Values","Варианты выбора количества статей на страницу"
"News Per Page Default Value","Количество статей на страницу по умолчанию"
"News Suffix","Окончание URL статьи"
"Number Of Newer News","Количество «более новых» материалов для показа"
"Number Of Older News","Количество «более старых» материалов для показа"
"Page Title","Тег TITLE"
"Parent Category","Родительская рубрика"
"Photo Background Color","Цвет фона иллюстраций"
"Right Column","справа"
"Root CMS Pro Name","Название журнала"
"Save And Continue Edit","сохранить и остаться"
"Save Item","сохранить и вернуться"
"Save Order","утвердить порядок"
"Show Root Category Top Menu","Отображать на витрине корневую рубрику?"
"Summary", "Краткое изложение, отображается в списке статей"
"Title","Заголовок"
"URL Key","Ключ веб-адреса<br/>(если не заполнено, то система сама создаст ключ на основе названия статьи)"
