"From:","от:"
"To:","до:"
"Show All","все"
"Hide All","хиты"
"In Stock","В наличии"
"All Stock","Все"
"Show stock:","Показать:"
"Show All Results","Показать все результаты"
"Find","Найдено"
"One Product","товар"
"Two Product","товара"
"Fri Product","товаров"
"Layered Navigation Setup","Настройки расширенного фильтра"
"Layer Setup","Настройки"
"Price Navigation Step Calculation","Расчет шага фильтра для числовых значений"
"Automatic","Автоматически"
"Manual","Ручное"
"Default Price Navigation Step","Шаг для числовых фильтров по умолчанию"
"Show Category","Показать категории"
"Show Stock Status","Показать фильтр наличия"
"Hide Empty Attribute","Скрывать атрибуты без значений"
"Unit","Еденица измерения"
"Note","Подсказка"
"Hide After Count","Скрывать после Х значений"
"Mode Slider","Режим слайдера"
"Layer Attribute Setup","Настройка атрибутов фильтра"
"If 0 is completely collapsed","Если 0 полностью свернут"
"Advancedlayernavigation","Расширенная навигация"
"Reload Mode","Способ перезагрузки фильтра"
"No Reload","Без перезагрузки"
"Fast Reload","При нажатии на фильтр"
"Reload After Timeout","По таймауту"
"Timeout","Время показа результатов (таймаут)"
"Is Decimal Number","Использовать как числовое значение"
"Only Slider","Только слайдер"
"Only Input Fields","Только поля ввода"
"Slider and Input Fields","Слайдер и поля ввода"
