"store","sku","qty","is_in_stock"
"admin","AE_MAN_190983_2999_CN_LS_M","2.0000","1"
"admin","AE_MAN_190983_2999_CN_LS_S","1.0000","1"
"admin","Active_Extreme_Underpants_Man","1.0000","1"
"admin","BA_MAN_194004_4395_CN_LS_S","1.0000","1"
"admin","BA_MAN_194004_4395_CN_LS_L","2.0000","1"
"admin","BA_MAN_194004_4395_CN_LS_M","2.0000","1"
"admin","BA_MAN_194004_2999_CN_LS_M","2.0000","1"
"admin","BA_MAN_194004_2999_CN_LS_S","1.0000","1"
"admin","KW_MAN_1901637_2395_CN_LS_L","1.0000","1"
"admin","BA_MAN_197010_4395_F_L","1.0000","1"
"admin","BA_MAN_197010_4395_F_M","1.0000","1"
"admin","Active_Underpants_2999_Man_L","1.0000","1"
"admin","Active_Underpants_2999_Man_M","1.0000","1"
"admin","Warm CN Man M","1.0000","1"
"admin","AE_MAN_190983_2999","0.0000","1"
"admin","AE_WOMAN_190987_2999","0.0000","1"
"admin","AE_WOMAN_190987_2999_CN_LS_S","1.0000","1"
"admin","AE_WOMAN_190987_2999_CN_LS_M","1.0000","1"
"admin","AE_WOMAN_190987_2334_CN_LS_S","1.0000","1"
"admin","AE_WOMAN_190987_2334_CN_LS_M","2.0000","1"
"admin","AE_MAN_190985_2999","0.0000","1"
"admin","AE_MAN_190985_2999_M","1.0000","1"
"admin","AE_WOMAN_1900244_2334_RN_LS_S","1.0000","1"
"admin","AE_WOMAN_1900244_2334_RN_LS_M","1.0000","1"
"admin","AE_WOMAN_1900244_2334","0.0000","1"
"admin","AE_WOMAN_1900245_3900_RN_LS_M","1.0000","1"
"admin","AE_WOMAN_1900245_3900_RN_LS_S","1.0000","1"
"admin","AE_WOMAN_1900245_3900","0.0000","1"
"admin","BA_MAN_194004_2999","0.0000","1"
"admin","KW_WOMAN_1901632_2222","0.0000","1"
"admin","AE_WOMAN_190987_2334","0.0000","1"
"admin","BA_MAN_197010_4395_F","0.0000","1"
"admin","BA_MAN_197010_4395_F_S","0.0000","0"
"admin","BA_MAN_197010_2999_F_M","1.0000","1"
"admin","BA_MAN_197010_2999_F_L","1.0000","1"
"admin","BA_WOMAN_193228_1999_K","0.0000","1"
"admin","KW_MAN_1901637_2395_CN_LS_M","1.0000","1"
"admin","BA_MAN_194004_4395","0.0000","1"
"admin","BA_MAN_194004_2999_CN_LS_L","1.0000","1"
"admin","KW_MAN_1901637_9980_CN_LS_M","1.0000","1"
"admin","KW_MAN_1901637_9980_CN_LS_L","0.0000","1"
"admin","KW_MAN_1901637_2395","0.0000","1"
"admin","KW_WOMAN_1901632_2222_S","0.0000","1"
"admin","KW_WOMAN_1901632_2222_M","1.0000","1"
"admin","KW_WOMAN_1901632_2900_XS","1.0000","1"
"admin","KW_WOMAN_1901632_2900_L","1.0000","1"
"admin","KW_WOMAN_1901632_2900_S","2.0000","1"
